timestamp,platform_a,error_x,platform_c,platform_b,error_y,platform_y,platform_x,error_delta_x,error_delta_y,mode,error_sum_y,error_sum_x,active,ball_x,ball_y,target_y,target_x
2517,20,-120,-10,-10,22,20,0,2,-7,72,-3045,-12506,1,1416,2986,3008,1296
2529,20,-119,-10,-10,20,20,0,3,-9,72,-3045,-12625,1,1415,2988,3008,1296
2541,20,-119,-10,-10,20,20,0,3,-9,72,-3045,-12744,1,1415,2988,3008,1296
2551,20,-118,-10,-10,15,20,0,3,-10,72,-3045,-12862,1,1414,2993,3008,1296
2559,20,-118,-10,-10,15,20,0,3,-10,72,-3045,-12980,1,1414,2993,3008,1296
2567,20,-118,-10,-10,15,20,0,2,-7,72,-3045,-13098,1,1414,2993,3008,1296
2577,20,-116,-10,-10,10,20,0,3,-10,72,-3045,-13214,1,1412,2998,3008,1296
2589,0,-116,0,0,10,0,0,3,-10,72,-3045,-13330,1,1412,2998,3008,1296
2601,20,-114,-10,-10,8,20,0,4,-7,72,-3045,-13444,1,1410,3000,3008,1296
2610,0,-111,0,0,3,0,0,7,-12,72,-3045,-13444,1,1407,3005,3008,1296
2619,0,-111,0,0,3,0,0,7,-12,72,-3045,-13444,1,1407,3005,3008,1296
2627,20,-109,-10,-10,1,20,0,7,-9,72,-3045,-13444,1,1405,3007,3008,1296
2637,0,-106,0,0,-3,0,0,10,-13,72,-3045,-13444,1,1402,3011,3008,1296
2649,20,-106,-10,-10,-3,20,0,8,-11,72,-3045,-13444,1,1402,3011,3008,1296
2661,0,-106,0,0,-3,0,0,5,-6,72,-3045,-13444,1,1402,3011,3008,1296
2670,0,-104,0,0,-4,0,0,7,-7,72,-3045,-13444,1,1400,3012,3008,1296
2679,0,-104,0,0,-4,0,0,5,-5,72,-3045,-13444,1,1400,3012,3008,1296
2687,0,-104,0,0,-4,0,0,2,-1,72,-3049,-13548,1,1400,3012,3008,1296
2697,0,-102,0,0,-6,0,0,4,-3,72,-3055,-13650,1,1398,3014,3008,1296
2709,0,-102,0,0,-6,0,0,4,-3,72,-3061,-13752,1,1398,3014,3008,1296
2721,20,-102,-10,-10,-6,20,0,2,-2,72,-3067,-13854,1,1398,3014,3008,1296
2730,20,-100,-10,-10,-9,20,0,4,-5,72,-3067,-13954,1,1396,3017,3008,1296
2738,0,-100,0,0,-9,0,0,4,-5,72,-3067,-14054,1,1396,3017,3008,1296
2747,0,-100,0,0,-9,0,0,2,-3,72,-3076,-14154,1,1396,3017,3008,1296
2757,0,-100,0,0,-9,0,0,2,-3,72,-3085,-14254,1,1396,3017,3008,1296
2769,0,-103,0,0,-14,0,0,-1,-8,72,-3085,-14357,1,1399,3022,3008,1296
2781,-20,-101,10,10,-14,-20,0,-1,-5,72,-3085,-14458,1,1397,3022,3008,1296
